timestamp,smoothed_ear,smoothed_mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T13:58:06.718204,0.300,0.005,3,0,0,7.30,0
2025-08-12T13:58:07.721350,0.079,0.008,3,0,0,7.76,0
2025-08-12T13:58:08.729463,0.120,0.003,3,0,0,9.11,0
2025-08-12T13:58:09.733876,0.126,0.003,3,0,0,9.18,0
2025-08-12T13:58:10.778197,0.097,0.004,3,0,0,8.56,0
2025-08-12T13:58:11.782366,0.096,0.002,3,0,0,7.18,0
2025-08-12T13:58:12.795004,0.075,0.004,3,0,0,11.32,0
2025-08-12T13:58:13.815344,0.237,0.731,3,0,0,10.95,0
2025-08-12T13:58:14.844250,0.245,1.039,3,0,0,11.79,0
2025-08-12T13:58:15.855877,0.212,0.806,3,0,0,10.74,0
2025-08-12T13:58:16.857258,0.243,1.115,3,0,0,28.67,1
2025-08-12T13:58:17.870498,0.162,0.222,3,0,0,7.21,1
2025-08-12T13:58:18.915976,0.222,1.041,3,0,0,4.12,1
2025-08-12T13:58:19.931243,0.178,0.793,3,0,0,0.62,1
2025-08-12T13:58:20.947525,0.322,0.003,3,0,0,4.39,1
2025-08-12T13:58:21.994218,0.297,0.036,4,0,0,1.32,1
2025-08-12T13:58:22.996035,0.158,0.034,4,0,0,16.40,1
2025-08-12T13:58:24.010992,0.339,0.012,4,0,0,5.36,1
2025-08-12T13:58:25.028434,0.308,0.034,4,0,0,7.64,1
2025-08-12T13:58:26.038196,0.258,0.009,4,0,0,11.00,1
2025-08-12T13:58:27.086041,0.262,0.011,4,0,0,8.90,1
2025-08-12T13:58:28.104032,0.206,0.012,5,0,0,5.01,1
2025-08-12T13:58:29.144157,0.327,0.032,5,0,0,3.60,1
2025-08-12T13:58:30.158110,0.212,0.085,6,0,0,2.98,1
2025-08-12T13:58:31.164655,0.251,0.054,6,0,0,3.25,1
2025-08-12T13:58:32.187238,0.294,0.049,6,0,0,0.18,1
2025-08-12T13:58:33.183038,0.324,0.037,7,0,0,3.07,1
2025-08-12T13:58:34.186660,0.317,0.027,8,0,0,2.57,1
2025-08-12T13:58:35.244258,0.102,0.006,8,0,0,1.25,1
2025-08-12T13:58:36.299821,0.302,0.010,8,0,0,0.86,1
2025-08-12T13:58:37.320343,0.339,0.003,9,0,0,2.46,1
2025-08-12T13:58:38.332617,0.326,0.010,10,0,0,1.30,1
2025-08-12T13:58:39.381102,0.363,0.034,10,0,0,3.18,1
