timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:32:11.256923,0.170,0.005,0,1,0,0
2025-08-12T13:32:12.260500,0.126,0.004,0,1,0,1
2025-08-12T13:32:15.200782,0.314,0.013,0,0,0,1
2025-08-12T13:32:17.256413,0.314,0.014,0,0,0,1
2025-08-12T13:32:19.339229,0.321,0.014,0,0,0,1
2025-08-12T13:32:21.402739,0.322,0.016,0,0,0,1
2025-08-12T13:32:23.450436,0.323,0.016,0,0,0,1
2025-08-12T13:32:24.451102,0.318,0.005,0,0,0,1
2025-08-12T13:32:25.459342,0.310,0.006,0,0,0,1
2025-08-12T13:32:26.467560,0.317,0.005,0,0,0,1
2025-08-12T13:32:27.496267,0.322,0.005,0,0,0,1
2025-08-12T13:32:28.505322,0.300,0.002,0,0,0,0
2025-08-12T13:32:29.542690,0.334,0.010,0,0,0,1
2025-08-12T13:32:30.545403,0.322,0.015,0,0,0,0
2025-08-12T13:32:31.560566,0.325,0.014,0,0,0,1
2025-08-12T13:32:32.567281,0.309,0.003,1,0,0,1
2025-08-12T13:32:33.607462,0.196,0.003,3,1,0,1
2025-08-12T13:32:34.632366,0.317,0.003,3,0,0,1
2025-08-12T13:32:35.639715,0.318,0.003,3,0,0,1
2025-08-12T13:32:36.648654,0.314,0.003,3,0,0,1
2025-08-12T13:32:37.655267,0.319,0.022,4,0,0,1
2025-08-12T13:32:38.664527,0.305,0.003,4,0,0,1
2025-08-12T13:32:39.697538,0.315,0.003,4,0,0,1
2025-08-12T13:32:40.709861,0.288,0.002,5,0,0,1
2025-08-12T13:32:41.735995,0.307,0.003,6,0,0,1
2025-08-12T13:32:42.742418,0.300,0.004,6,0,0,1
2025-08-12T13:32:43.753493,0.294,0.013,7,0,0,1
2025-08-12T13:32:44.791088,0.314,0.023,7,0,0,1
2025-08-12T13:32:45.793271,0.348,0.012,7,0,0,1
2025-08-12T13:32:46.836734,0.244,0.008,9,1,0,1
2025-08-12T13:32:47.837238,0.330,0.010,10,0,0,1
2025-08-12T13:32:48.839055,0.202,0.008,11,0,0,1
2025-08-12T13:32:49.843352,0.298,0.008,11,0,0,1
2025-08-12T13:32:50.859322,0.217,0.008,12,0,0,1
2025-08-12T13:32:51.860569,0.230,0.021,12,0,0,1
2025-08-12T13:32:52.897243,0.282,0.009,12,0,0,1
2025-08-12T13:32:53.897614,0.313,0.008,13,0,0,1
