timestamp,avg_ear,mar,blink_count,drowsy,yawn,head_tilt_deg,liveness_ok
2025-08-12T12:30:34.649425,0.319,0.006,1,0,0,5.09,0
2025-08-12T12:30:35.663284,0.325,0.007,1,0,0,4.97,0
2025-08-12T12:30:36.691197,0.324,0.005,1,0,0,4.66,0
2025-08-12T12:30:37.705191,0.278,0.006,1,0,0,4.47,0
2025-08-12T12:30:38.720320,0.312,0.004,1,0,0,4.49,0
2025-08-12T12:30:39.793006,0.301,0.006,1,0,0,4.63,0
2025-08-12T12:30:40.799114,0.334,0.008,1,0,0,10.76,0
2025-08-12T12:30:41.805473,0.116,0.016,1,1,0,9.96,0
2025-08-12T12:30:42.814251,0.080,0.014,1,1,0,8.44,0
2025-08-12T12:30:43.849147,0.158,0.006,1,1,0,6.90,1
2025-08-12T12:30:44.859124,0.229,0.006,2,0,0,7.40,1
2025-08-12T12:30:45.863693,0.328,0.007,2,0,0,6.98,1
2025-08-12T12:30:46.875833,0.319,0.010,3,0,0,6.85,1
2025-08-12T12:30:47.929764,0.339,0.008,3,0,0,7.15,1
2025-08-12T12:30:48.938892,0.338,0.005,3,0,0,6.83,1
2025-08-12T12:30:49.941234,0.340,0.007,3,0,0,7.05,1
2025-08-12T12:30:50.951583,0.317,0.009,3,0,0,6.45,0
2025-08-12T12:30:51.959149,0.303,0.007,3,0,0,6.67,0
2025-08-12T12:30:52.972688,0.176,0.008,5,0,0,7.40,1
2025-08-12T12:30:54.011893,0.279,0.003,5,0,0,6.75,1
2025-08-12T12:30:55.020764,0.225,0.007,6,0,0,6.17,1
2025-08-12T12:30:56.029004,0.237,0.012,7,0,0,15.34,1
2025-08-12T12:30:57.038902,0.318,0.006,7,0,0,17.93,1
2025-08-12T12:30:58.047557,0.318,0.005,7,0,0,4.02,1
2025-08-12T12:30:59.099676,0.279,0.004,7,0,0,3.39,1
2025-08-12T12:31:00.106348,0.279,0.005,7,0,0,4.55,1
2025-08-12T12:31:01.115820,0.273,0.004,7,0,0,4.41,0
2025-08-12T12:31:02.121070,0.272,0.004,7,0,0,1.90,1
2025-08-12T12:31:03.131271,0.323,0.009,7,0,0,1.66,0
2025-08-12T12:31:04.173455,0.289,0.005,7,0,0,27.78,1
2025-08-12T12:31:05.179666,0.259,0.026,7,0,0,7.85,1
2025-08-12T12:31:06.188424,0.267,0.021,7,0,0,11.27,1
2025-08-12T12:31:07.198145,0.264,0.043,7,0,0,5.63,1
2025-08-12T12:31:08.261141,0.296,0.013,7,0,0,7.11,1
2025-08-12T12:31:09.270526,0.175,0.033,7,0,0,6.68,1
2025-08-12T12:31:10.308399,0.201,0.008,8,0,0,14.83,1
2025-08-12T12:31:11.324896,0.313,0.035,8,0,0,0.33,1
2025-08-12T12:31:12.332209,0.329,0.004,8,0,0,3.22,1
2025-08-12T12:31:13.347337,0.329,0.004,8,0,0,2.37,1
2025-08-12T12:31:14.481144,0.324,0.006,8,0,0,2.45,0
2025-08-12T12:31:15.486716,0.326,0.004,8,0,0,6.32,0
2025-08-12T12:31:16.496125,0.341,0.011,8,0,0,20.95,0
2025-08-12T12:31:17.497297,0.349,0.027,8,0,0,21.19,0
