timestamp,ear,mar,blink_count,drowsy,yawn,liveness_ok
2025-08-12T13:05:09.969928,0.319,0.013,9,0,0,1
2025-08-12T13:05:10.976204,0.309,0.020,9,0,0,1
2025-08-12T13:05:12.006506,0.304,0.007,9,0,0,1
2025-08-12T13:05:13.018142,0.311,0.013,9,0,0,1
2025-08-12T13:05:14.056499,0.280,0.076,9,0,0,1
2025-08-12T13:05:15.067779,0.267,0.011,9,0,0,1
2025-08-12T13:05:16.091106,0.322,0.018,9,0,0,1
2025-08-12T13:05:17.126592,0.340,0.026,9,0,0,0
2025-08-12T13:05:18.148330,0.339,0.003,10,0,0,1
2025-08-12T13:05:19.191254,0.331,0.004,10,0,0,1
2025-08-12T13:05:20.200892,0.079,0.002,10,1,0,1
2025-08-12T13:05:21.201395,0.106,0.002,10,1,0,1
2025-08-12T13:05:22.221935,0.160,0.004,10,1,0,0
2025-08-12T13:05:23.223841,0.279,0.002,10,1,0,1
2025-08-12T13:05:24.228365,0.066,0.002,10,1,0,1
2025-08-12T13:05:25.243589,0.111,0.003,10,1,0,0
2025-08-12T13:05:26.268331,0.101,0.003,10,1,0,1
2025-08-12T13:05:27.270662,0.314,0.057,10,0,0,0
2025-08-12T13:05:28.281414,0.275,0.032,10,1,0,1
2025-08-12T13:05:29.287253,0.252,0.014,10,0,0,0
2025-08-12T13:05:30.297490,0.316,0.003,10,0,0,1
2025-08-12T13:05:31.304139,0.328,0.011,10,0,0,1
2025-08-12T13:05:32.330187,0.341,0.005,10,0,0,0
2025-08-12T13:05:33.368959,0.291,0.023,10,0,0,1
2025-08-12T13:05:34.376302,0.283,0.006,10,0,0,1
2025-08-12T13:05:35.378103,0.165,0.005,11,1,0,1
2025-08-12T13:05:36.398279,0.143,0.005,11,1,0,1
2025-08-12T13:05:37.436275,0.192,0.006,11,1,0,1
2025-08-12T13:05:38.464665,0.170,0.016,11,1,0,1
2025-08-12T13:05:39.512353,0.268,0.738,11,0,1,0
2025-08-12T13:05:40.537681,0.206,0.530,11,0,0,0
2025-08-12T13:05:41.545191,0.198,0.482,11,0,0,1
2025-08-12T13:05:42.578718,0.234,0.567,11,0,0,1
2025-08-12T13:05:43.596500,0.244,0.543,11,0,0,1
2025-08-12T13:05:44.602026,0.282,0.145,11,0,0,1
2025-08-12T13:05:45.608682,0.286,0.077,11,0,0,1
2025-08-12T13:05:46.648643,0.293,0.101,11,0,0,1
2025-08-12T13:05:47.665852,0.309,0.622,12,0,1,1
2025-08-12T13:05:48.679443,0.250,0.694,12,0,1,1
2025-08-12T13:05:49.691183,0.238,0.754,12,0,1,1
2025-08-12T13:05:50.696813,0.238,0.791,12,0,1,1
2025-08-12T13:05:51.707131,0.226,0.015,12,0,0,0
2025-08-12T13:05:52.710615,0.300,0.003,12,0,0,0
2025-08-12T13:05:53.736962,0.238,0.008,13,0,0,1
2025-08-12T13:05:54.746897,0.310,0.007,13,0,0,1
2025-08-12T13:05:55.752707,0.280,0.011,13,0,0,1
2025-08-12T13:05:56.761684,0.259,0.305,14,0,0,1
2025-08-12T13:05:57.769531,0.204,0.732,14,0,1,1
2025-08-12T13:05:58.810234,0.264,0.629,14,0,1,1
2025-08-12T13:05:59.827110,0.272,0.052,14,0,0,1
2025-08-12T13:06:00.836563,0.285,0.041,15,0,0,1
2025-08-12T13:06:01.848503,0.183,0.002,16,1,0,1
2025-08-12T13:06:02.856646,0.224,0.653,16,0,1,1
2025-08-12T13:06:03.862754,0.210,0.281,16,0,0,1
2025-08-12T13:06:04.877005,0.303,0.030,16,0,0,1
2025-08-12T13:06:05.945989,0.279,0.010,16,0,0,1
2025-08-12T13:06:06.967716,0.185,0.144,17,0,0,1
2025-08-12T13:06:07.970433,0.240,0.041,18,0,0,1
2025-08-12T13:06:08.977446,0.303,0.087,18,0,0,1
2025-08-12T13:06:09.991915,0.222,0.018,18,0,0,1
